2	1	0	0	0.0 	 0.009053957169138737 	 0.13047643880210535 	 2 	 0.001296257310445712 	 1.0
2	2	0	0	0.0 	 0.0020569244787407123 	 0.014990805989493483 	 2 	 0.004179985490391214 	 1.0
2	3	0	0	0.3333333333333333 	 0.017618790862070702 	 0.17964883323328476 	 2 	 0.004268323016209915 	 0.9999958094362805
2	4	0	0	0.3333333333333333 	 0.018734865427736856 	 0.09484129923407549 	 2 	 0.0010140047586813187 	 0.3613854255771848
2	5	0	0	0.3333333333333333 	 0.031261595146544925 	 0.10460376475703498 	 2 	 0.0019820047029913126 	 0.20315548205660933
2	6	0	0	0.3333333333333333 	 0.016352723182876054 	 0.0703761091961847 	 2 	 0.0013612371082919244 	 0.271039333322804
2	7	0	0	0.3333333333333333 	 0.011075170756975521 	 0.02617920250667307 	 2 	 0.003930001659498385 	 0.4919467255977497
2	8	0	0	0.3333333333333333 	 0.01728329485753295 	 0.19234285550987223 	 2 	 0.00018745873841187163 	 0.5066032875944493
2	9	0	0	0.3333333333333333 	 0.020846603486467278 	 0.0071428686413398685 	 2 	 0.00019743958368853803 	 0.020252234494750478
2	10	0	0	0.3333333333333333 	 0.010286590656522224 	 0.021016907264254845 	 2 	 0.004094035933359013 	 0.5541617619507662
3	1	0	0	0.0 	 0.03282613552142975 	 0.18200385778255937 	 3 	 0.004350744314814632 	 1.0
3	2	0	0	0.0 	 0.01157818709079506 	 0.14977824341184137 	 3 	 0.004498824039708003 	 1.0
3	3	0	0	0.2 	 0.02889790696360258 	 0.1618806638155137 	 3 	 0.005350573703962082 	 0.9999991516301474
3	4	0	0	0.0 	 0.0423205741171277 	 0.20869869971944743 	 3 	 0.00437036093348549 	 1.0
3	5	0	0	0.2 	 0.007045891876332012 	 0.026431304612526286 	 3 	 0.0016291034639684414 	 0.33619096187516456
3	6	0	0	0.0 	 0.02799199965987381 	 0.17029171702620174 	 3 	 0.0048796875027358605 	 1.0
3	7	0	0	0.2 	 0.027406596246467716 	 0.13661682481383092 	 3 	 0.003917014012599656 	 1.0
3	8	0	0	0.2 	 0.02590423420400242 	 0.10465085307333445 	 3 	 0.0031586031289393317 	 0.6794017824126574
3	9	0	0	0.2 	 0.03861245430511177 	 0.20011968765144317 	 3 	 0.0049469939845929395 	 1.0000002479347074
3	10	0	0	0.2 	 0.025093998803345008 	 0.1228906134777496 	 3 	 0.004522128267624997 	 1.0
5	1	0	0	0.25 	 0.033148511144360134 	 0.15101077837767368 	 5 	 0.0065783709633813 	 0.778450319840577
5	2	0	0	0.0 	 0.045657524589247274 	 0.16758341132526178 	 5 	 0.002429310750295584 	 1.0
5	3	0	0	0.0 	 0.07069990406707083 	 0.23612854105681938 	 5 	 0.0031844371650507786 	 1.0
5	4	0	0	0.0 	 0.04563118573069621 	 0.15418016695523362 	 5 	 0.0041729899950655475 	 1.0
5	5	0	0	0.0 	 0.043854208940663095 	 0.2349177116775536 	 5 	 0.002619811101490969 	 1.0
5	6	0	0	0.0 	 0.05159537167975869 	 0.16595429661970784 	 5 	 0.0017900051721791207 	 1.0
5	7	0	0	0.1111111111111111 	 0.02603532886272596 	 0.11069776386534307 	 5 	 0.004153427653098141 	 1.0
5	8	0	0	0.1111111111111111 	 0.08590117447443624 	 0.24613952868946856 	 5 	 0.0047225962337424186 	 0.7498539796892567
5	9	0	0	0.1111111111111111 	 0.04400951042970213 	 0.07793270759577846 	 5 	 0.0016310252530851587 	 0.7270313525695128
5	10	0	0	0.25 	 0.011744718072584785 	 0.10736196483204127 	 5 	 0.004334780954455435 	 0.7114435130698525
7	1	0	0	0.16666666666666666 	 0.033893318245725654 	 0.06260553287187895 	 7 	 0.002732417332811677 	 0.5914412874987843
7	2	0	0	0.07692307692307693 	 0.049595712115430866 	 0.20861743485458478 	 7 	 0.007908897454925314 	 0.9999866822223017
7	3	0	0	0.16666666666666666 	 0.08783624966189271 	 0.1974036294785912 	 7 	 0.005640340462989724 	 0.7745466288122367
7	4	0	0	0.07692307692307693 	 0.07050311595036551 	 0.14746576564161215 	 7 	 0.0036433079397591873 	 1.0
7	5	0	0	0.07692307692307693 	 0.04644958014291515 	 0.16627062345897656 	 7 	 0.007949568739658758 	 1.0000003248297562
7	6	0	0	0.0 	 0.06657304354749646 	 0.21233496263133506 	 7 	 0.007497788468796797 	 1.0
7	7	0	0	0.07692307692307693 	 0.04078636302891337 	 0.12947287298328283 	 7 	 0.0045395282724366845 	 0.9999999995795303
7	8	0	0	0.07692307692307693 	 0.09868839588344121 	 0.22736072900246823 	 7 	 0.00582433936710973 	 0.778075132922859
7	9	0	0	0.07692307692307693 	 0.08854775529753961 	 0.2337381403547774 	 7 	 0.004929950693382255 	 0.7821438044584308
7	10	0	0	0.16666666666666666 	 0.04336600949058908 	 0.11801016484315689 	 7 	 0.0033813869675396 	 0.7508571050282672
10	1	0	0	0.1111111111111111 	 0.09463190923529316 	 0.20250225091583815 	 10 	 0.006642494856565597 	 0.999999622544746
10	2	0	0	0.1111111111111111 	 0.08563296948985397 	 0.15675999282917966 	 10 	 0.004564734906863947 	 0.9079336819405381
10	3	0	0	0.25 	 0.08884188371111934 	 0.1965493054981395 	 10 	 0.006532023203939041 	 0.8082800838326119
10	4	0	0	0.05263157894736842 	 0.08836359410670629 	 0.16084260223138608 	 10 	 0.004601840514728727 	 1.0000005417804665
10	5	0	0	0.1111111111111111 	 0.07366926569592117 	 0.17998263246842702 	 10 	 0.006859849717000044 	 1.0
